ID,Email,Password,Nationality,Gender,Name,Surname,Age,Traveler_Type,Dietary_Restrictions
1,user1@example.com,abcd1234,Indonesian,female,Lestari,Sitohang,46,Educational,['Halal']
2,user2@example.com,abcd1234,Chinese,female,Yang,Bai,36,Educational,"['Vegan', 'Halal', 'Vegetarian']"
3,user3@example.com,abcd1234,German,female,Anna,Schwarz,20,Vacation,"['Gluten-free', 'Vegetarian']"
4,user4@example.com,abcd1234,Japanese,female,Mai,Kimura,25,Business,"['Halal', 'Gluten-free', 'Vegetarian']"
5,user5@example.com,abcd1234,Indonesian,male,Cahya,Saputra,25,Vacation,"['Vegetarian', 'Halal', 'Vegan']"
6,user6@example.com,abcd1234,Indonesian,male,Yoga,Kurniawan,37,Educational,"['Vegan', 'Halal', 'Vegetarian']"
7,user7@example.com,abcd1234,Indonesian,female,Siti,Kurniawan,21,Vacation,['Vegetarian']
8,user8@example.com,abcd1234,Chinese,male,Wei,Mao,38,Educational,['Halal']
9,user9@example.com,abcd1234,Japanese,female,Erika,Hayashi,20,Vacation,['Halal']
10,user10@example.com,abcd1234,German,male,Niklas,Braun,25,Educational,"['Halal', 'Vegetarian']"
11,user11@example.com,abcd1234,Indonesian,female,Marcella,Hutabarat,40,Business,['Vegetarian']
12,user12@example.com,abcd1234,Chinese,female,Xiang,Xiao,33,Educational,['Halal']
13,user13@example.com,abcd1234,American,male,Steven,Miller,30,Vacation,['Halal']
14,user14@example.com,abcd1234,Indonesian,male,Ivan,Susanto,20,Vacation,"['Halal', 'Gluten-free', 'Vegetarian']"
15,user15@example.com,abcd1234,Indonesian,female,Kesya,Dewanto,26,Vacation,"['Vegan', 'Lactose-free']"
16,user16@example.com,abcd1234,Indonesian,female,Jennifer,Wijaya,31,Vacation,"['Halal', 'Vegetarian', 'Kosher']"
17,user17@example.com,abcd1234,Indonesian,male,Ahmad,Gunawan,30,Educational,"['Halal', 'Gluten-free', 'Vegan']"
18,user18@example.com,abcd1234,Japanese,male,Yuta,Takahashi,24,Vacation,"['Kosher', 'Halal', 'Vegetarian']"
19,user19@example.com,abcd1234,Indonesian,female,Lestari,Hutabarat,32,Business,"['Kosher', 'Halal', 'Vegetarian']"
20,user20@example.com,abcd1234,Indonesian,male,Bayu,Herlambang,24,Educational,"['Halal', 'Vegetarian', 'Kosher']"
21,user21@example.com,abcd1234,Japanese,female,Hikari,Sato,55,Vacation,['Vegetarian']
22,user22@example.com,abcd1234,Indonesian,female,Angelina,Hutabarat,51,Educational,"['Halal', 'Gluten-free', 'Vegetarian']"
23,user23@example.com,abcd1234,Indonesian,female,Rizky,Herlambang,58,Educational,['Halal']
24,user24@example.com,abcd1234,Indonesian,female,Felicia,Simatupang,39,Vacation,"['Halal', 'Vegan']"
25,user25@example.com,abcd1234,Dutch,male,Milan,Kok,41,Educational,"['Vegetarian', 'Halal']"
26,user26@example.com,abcd1234,German,male,Jonas,Klein,54,Vacation,"['Halal', 'Gluten-free']"
27,user27@example.com,abcd1234,Indonesian,male,Bintang,Sitohang,18,Business,"['Halal', 'Vegetarian']"
28,user28@example.com,abcd1234,Japanese,male,Riku,Tanaka,27,Educational,['Halal']
29,user29@example.com,abcd1234,Japanese,male,Kazuki,Yamamoto,33,Educational,['Halal']
30,user30@example.com,abcd1234,Indonesian,male,Restu,Gunawan,25,Vacation,"['Halal', 'Vegan']"
31,user31@example.com,abcd1234,Japanese,male,Daisuke,Kato,42,Educational,['Halal']
32,user32@example.com,abcd1234,Indonesian,female,Rini,Sasmito,29,Vacation,"['Halal', 'Vegetarian', 'Gluten-free']"
33,user33@example.com,abcd1234,Indonesian,male,Ivan,Wulandari,42,Vacation,['Halal']
34,user34@example.com,abcd1234,Chinese,male,Yize,Bai,34,Educational,"['Vegan', 'Halal']"
35,user35@example.com,abcd1234,Chinese,female,Yang,Bai,43,Business,"['Vegetarian', 'Halal']"
36,user36@example.com,abcd1234,American,male,Robert,Brown,31,Vacation,['Halal']
37,user37@example.com,abcd1234,Indonesian,male,Ivan,Sasmito,58,Educational,"['Vegetarian', 'Lactose-free', 'Halal']"
38,user38@example.com,abcd1234,Indonesian,female,Kesya,Sasmito,53,Educational,"['Halal', 'Vegan']"
39,user39@example.com,abcd1234,Japanese,male,Hiroshi,Ito,40,Vacation,['Halal']
40,user40@example.com,abcd1234,Indonesian,male,Budi,Sunandar,23,Educational,"['Vegetarian', 'Halal', 'Lactose-free']"
41,user41@example.com,abcd1234,Indonesian,male,Restu,Nugroho,22,Educational,['Halal']
42,user42@example.com,abcd1234,Dutch,female,Esmee,Visser,42,Educational,"['Halal', 'Lactose-free', 'Vegetarian']"
43,user43@example.com,abcd1234,Indonesian,male,Muhammad,Nugroho,35,Educational,"['Halal', 'Vegetarian']"
44,user44@example.com,abcd1234,Chinese,male,Haoyu,Mao,30,Vacation,"['Halal', 'Gluten-free', 'Vegan']"
45,user45@example.com,abcd1234,Indonesian,female,Marcella,Santoso,31,Vacation,"['Vegan', 'Halal', 'Vegetarian']"
46,user46@example.com,abcd1234,Japanese,male,Kenta,Nakamura,45,Vacation,['Vegetarian']
47,user47@example.com,abcd1234,Indonesian,female,Michelle,Santoso,35,Educational,"['Halal', 'Kosher']"
48,user48@example.com,abcd1234,Japanese,female,Yuka,Watanabe,45,Educational,"['Halal', 'Kosher', 'Vegetarian']"
49,user49@example.com,abcd1234,Japanese,male,Naoki,Ishida,44,Educational,"['Halal', 'Vegetarian']"
50,user50@example.com,abcd1234,Indonesian,female,Kesya,Gunawan,49,Educational,"['Halal', 'Vegetarian', 'Vegan']"
51,user51@example.com,abcd1234,Chinese,female,Jing,Zhang,26,Business,"['Vegetarian', 'Halal']"
52,user52@example.com,abcd1234,German,male,Julian,Neumann,57,Vacation,"['Halal', 'Gluten-free']"
53,user53@example.com,abcd1234,Chinese,female,Hua,Liu,49,Vacation,['Vegetarian']
54,user54@example.com,abcd1234,Chinese,female,Ying,Yan,37,Vacation,['Halal']
55,user55@example.com,abcd1234,Japanese,male,Kenji,Shimizu,45,Business,['Lactose-free']
56,user56@example.com,abcd1234,Chinese,male,Wei,Gu,50,Business,"['Halal', 'Gluten-free', 'Kosher']"
57,user57@example.com,abcd1234,Indonesian,male,Abdul,Gunawan,21,Educational,"['Halal', 'Lactose-free']"
58,user58@example.com,abcd1234,Indonesian,female,Irma,Susanto,51,Educational,"['Halal', 'Vegetarian', 'Vegan']"
59,user59@example.com,abcd1234,Indonesian,male,Cahya,Sunandar,20,Educational,"['Halal', 'Gluten-free', 'Vegetarian']"
60,user60@example.com,abcd1234,Indonesian,female,Rizky,Hutabarat,43,Educational,"['Halal', 'Vegetarian', 'Gluten-free']"
61,user61@example.com,abcd1234,Indonesian,female,Jennifer,Sitohang,25,Vacation,"['Halal', 'Vegan']"
62,user62@example.com,abcd1234,Indonesian,female,Dewi,Sunandar,23,Educational,"['Vegetarian', 'Halal']"
63,user63@example.com,abcd1234,American,female,Anne,Butler,33,Educational,['Vegetarian']
64,user64@example.com,abcd1234,Indonesian,female,Puspita,Dewanto,41,Educational,"['Lactose-free', 'Halal', 'Kosher']"
65,user65@example.com,abcd1234,Indonesian,female,Christine,Herlambang,56,Vacation,['Gluten-free']
66,user66@example.com,abcd1234,Japanese,female,Asuka,Yamamoto,47,Business,['Vegan']
67,user67@example.com,abcd1234,Indonesian,male,Abdul,Sunandar,30,Business,['Lactose-free']
68,user68@example.com,abcd1234,American,male,Jimmy,Adams,22,Educational,"['Halal', 'Lactose-free']"
69,user69@example.com,abcd1234,Indonesian,female,Irma,Gunawan,42,Educational,"['Halal', 'Vegetarian']"
70,user70@example.com,abcd1234,Chinese,female,Mei,Guan,37,Educational,"['Vegetarian', 'Halal', 'Gluten-free']"
71,user71@example.com,abcd1234,German,male,Julian,Müller,35,Vacation,"['Lactose-free', 'Halal']"
72,user72@example.com,abcd1234,Indonesian,female,Valerie,Sunandar,35,Educational,"['Vegetarian', 'Vegan']"
73,user73@example.com,abcd1234,Indonesian,male,Bintang,Sitohang,19,Educational,"['Vegetarian', 'Vegan']"
74,user74@example.com,abcd1234,American,male,John,Smith,27,Vacation,"['Halal', 'Vegetarian']"
75,user75@example.com,abcd1234,German,male,Leon,Weber,29,Vacation,"['Halal', 'Lactose-free', 'Vegetarian']"
76,user76@example.com,abcd1234,German,female,Sarah,Schwarz,30,Educational,"['Gluten-free', 'Lactose-free', 'Vegetarian']"
